transactionid,customerid,franchiseid,datetime,product,quantity,unitprice,totalprice,paymentmethod,cardnumber
1002580,2000029,3000047,2024-05-04 13:04:26.19,Golden Gate Ginger,36,3,108,amex,348165387579669
1002628,2000243,3000047,2024-05-10 22:59:58.211,Outback Oatmeal,32,3,96,mastercard,2720365188966917
1002632,2000038,3000047,2024-05-09 04:35:38.161,Pearly Pies,28,3,84,visa,4980935709447380
1002637,2000160,3000047,2024-05-14 21:20:15.339,Tokyo Tidbits,4,3,12,amex,348574259308158
1002714,2000104,3000047,2024-05-06 09:02:42.944,Golden Gate Ginger,36,3,108,visa,4962084078552439
1002760,2000037,3000047,2024-05-03 08:43:18.829,Orchard Oasis,12,3,36,amex,342156403154187
1002827,2000045,3000047,2024-05-02 15:14:30.165,Golden Gate Ginger,36,3,108,mastercard,2667732657691521
1002896,2000262,3000047,2024-05-06 12:58:22.588,Orchard Oasis,20,3,60,mastercard,2272102709189840
1000477,2000230,3000047,2024-05-03 07:25:47.808,Tokyo Tidbits,8,3,24,amex,348175805856953
1000580,2000172,3000047,2024-05-13 00:56:10.259,Austin Almond Biscotti,16,3,48,mastercard,2294068662295870
1000615,2000149,3000047,2024-05-02 12:20:22.889,Tokyo Tidbits,24,3,72,amex,370318833512773
1000818,2000157,3000047,2024-05-03 04:02:23.812,Golden Gate Ginger,16,3,48,visa,4889028877090216
1003010,2000173,3000046,2024-05-12 19:09:45.421,Golden Gate Ginger,36,3,108,amex,341952704286715
1003019,2000229,3000046,2024-05-11 23:32:18.601,Austin Almond Biscotti,42,3,126,amex,344786409529392
1003194,2000073,3000046,2024-05-05 05:10:36.363,Outback Oatmeal,54,3,162,visa,4013073725476000
1003201,2000211,3000046,2024-05-03 09:08:32.004,Tokyo Tidbits,30,3,90,visa,4553461083307238
1003222,2000079,3000046,2024-05-08 10:19:49.723,Outback Oatmeal,36,3,108,amex,344724568401996
1003230,2000248,3000046,2024-05-04 04:37:49.34,Orchard Oasis,54,3,162,mastercard,2703868922655135
1003290,2000104,3000046,2024-05-14 03:35:16.71,Pearly Pies,18,3,54,amex,343548993801103
1001320,2000179,3000046,2024-05-10 01:06:30.569,Austin Almond Biscotti,60,3,180,mastercard,5125775112585498
1001336,2000112,3000046,2024-05-09 21:28:46.099,Golden Gate Ginger,36,3,108,mastercard,5306039317369435
1001433,2000112,3000046,2024-05-04 11:19:24.671,Outback Oatmeal,48,3,144,mastercard,2283035585602436
1001476,2000128,3000046,2024-05-15 14:44:01.852,Orchard Oasis,36,3,108,amex,342415432985908
1001527,2000202,3000046,2024-05-03 09:59:23.537,Austin Almond Biscotti,54,3,162,visa,4926399592619711
1001618,2000095,3000046,2024-05-07 09:35:12.27,Austin Almond Biscotti,48,3,144,visa,4460583694299801
1001642,2000176,3000046,2024-05-11 10:55:05.485,Pearly Pies,42,3,126,amex,345927914081482
1001757,2000074,3000046,2024-05-17 05:05:50.599,Outback Oatmeal,36,3,108,visa,4116742726867898
1001763,2000293,3000046,2024-05-07 13:24:01.488,Tokyo Tidbits,18,3,54,amex,342123549511480
1001783,2000111,3000046,2024-05-14 04:06:11.185,Pearly Pies,60,3,180,visa,4379661743943312
1001883,2000038,3000046,2024-05-16 13:45:08.684,Pearly Pies,36,3,108,visa,4908041741524804
1001925,2000006,3000046,2024-05-12 09:44:12.815,Golden Gate Ginger,54,3,162,mastercard,5521203935742741
1002065,2000067,3000046,2024-05-05 04:17:49.162,Outback Oatmeal,60,3,180,mastercard,2251188877968458
1000028,2000133,3000046,2024-05-06 17:42:50.02,Golden Gate Ginger,18,3,54,visa,4290040535079484
1000029,2000165,3000046,2024-05-12 02:50:09.345,Golden Gate Ginger,12,3,36,visa,4219710538265771
1000040,2000251,3000046,2024-05-02 21:05:43.305,Tokyo Tidbits,12,3,36,amex,345802351615235
1000044,2000289,3000046,2024-05-14 03:41:43.418,Outback Oatmeal,60,3,180,visa,4923910526358334
1000062,2000169,3000046,2024-05-11 23:51:00.978,Golden Gate Ginger,12,3,36,amex,375949715977935
1000119,2000248,3000046,2024-05-01 07:41:49.796,Orchard Oasis,42,3,126,mastercard,2228558772535539
1000157,2000259,3000046,2024-05-13 09:57:22.242,Austin Almond Biscotti,12,3,36,mastercard,5157831198491894
1000235,2000134,3000046,2024-05-09 21:56:29.873,Orchard Oasis,60,3,180,amex,349775955871980
1000260,2000040,3000046,2024-05-06 08:16:06.833,Orchard Oasis,12,3,36,amex,377532474539845
1000307,2000207,3000046,2024-05-12 17:25:06.726,Golden Gate Ginger,60,3,180,amex,379066090640099
1000347,2000170,3000046,2024-05-16 14:26:06.501,Golden Gate Ginger,36,3,108,visa,4419111705439463
1000351,2000062,3000046,2024-05-06 18:13:40.11,Austin Almond Biscotti,24,3,72,mastercard,2278528934370595
1000369,2000150,3000046,2024-05-02 22:44:53.24,Austin Almond Biscotti,42,3,126,amex,370396184867905
1000399,2000241,3000046,2024-05-06 15:35:30.08,Outback Oatmeal,18,3,54,amex,349830748290459
1000843,2000023,3000046,2024-05-03 08:21:19.141,Austin Almond Biscotti,60,3,180,amex,378435482017193
1000854,2000042,3000046,2024-05-06 10:16:21.969,Golden Gate Ginger,42,3,126,amex,349488310645459
1000860,2000132,3000046,2024-05-07 12:49:37.628,Outback Oatmeal,18,3,54,mastercard,2245274512671852
1001024,2000237,3000046,2024-05-12 17:45:42.703,Golden Gate Ginger,54,3,162,amex,345843459777063
1001065,2000055,3000046,2024-05-04 13:50:14.519,Orchard Oasis,30,3,90,visa,4658334686262262
1001090,2000057,3000046,2024-05-09 15:59:41.881,Pearly Pies,42,3,126,amex,378681518766432
1001182,2000099,3000046,2024-05-02 15:03:04.494,Orchard Oasis,36,3,108,mastercard,2291242624923639
1001194,2000229,3000046,2024-05-05 05:54:12.273,Golden Gate Ginger,42,3,126,amex,342511414755663
1001202,2000275,3000046,2024-05-04 23:22:18.447,Tokyo Tidbits,24,3,72,amex,375355841861698
1001211,2000243,3000046,2024-05-01 13:46:42.272,Golden Gate Ginger,36,3,108,amex,378974831741889
1001228,2000112,3000046,2024-05-10 09:51:38.763,Austin Almond Biscotti,60,3,180,amex,378494831928253
1001229,2000141,3000046,2024-05-12 23:30:04.431,Orchard Oasis,30,3,90,mastercard,5375874030416022
1002086,2000223,3000046,2024-05-11 07:50:12.321,Outback Oatmeal,6,3,18,mastercard,2620077119843237
1002260,2000084,3000046,2024-05-01 17:58:38.87,Outback Oatmeal,24,3,72,visa,4093859072331720
1002320,2000218,3000046,2024-05-14 13:02:39.3,Pearly Pies,48,3,144,amex,345524221825519
1002337,2000021,3000046,2024-05-01 02:32:45.013,Austin Almond Biscotti,30,3,90,amex,343545779513050
1002518,2000249,3000046,2024-05-03 23:15:15.04,Orchard Oasis,60,3,180,mastercard,2221125445129665
1002618,2000267,3000046,2024-05-01 09:29:48.936,Pearly Pies,6,3,18,amex,374786900521339
1002722,2000219,3000046,2024-05-01 13:32:19.185,Tokyo Tidbits,54,3,162,mastercard,2577401569666869
1002734,2000285,3000046,2024-05-07 17:48:53.229,Orchard Oasis,12,3,36,visa,4215005835745656
1002781,2000199,3000046,2024-05-05 03:52:44.264,Outback Oatmeal,6,3,18,mastercard,2288351224014874
1002852,2000146,3000046,2024-05-05 01:25:05.755,Orchard Oasis,30,3,90,visa,4556095264742834
1000442,2000118,3000046,2024-05-13 04:25:25.948,Golden Gate Ginger,12,3,36,visa,4230896816389154
1000461,2000134,3000046,2024-05-02 12:18:54.772,Orchard Oasis,54,3,162,mastercard,2720429625647546
1000574,2000000,3000046,2024-05-02 08:56:38.464,Tokyo Tidbits,36,3,108,visa,4125395481126619
1000616,2000205,3000046,2024-05-06 02:24:13.35,Golden Gate Ginger,24,3,72,visa,4346017052783718
1000716,2000131,3000046,2024-05-13 18:10:45.011,Pearly Pies,18,3,54,amex,346412685756405
1000765,2000107,3000046,2024-05-12 15:11:06.352,Tokyo Tidbits,30,3,90,mastercard,2288910134258226
1000768,2000233,3000046,2024-05-01 07:45:54.613,Austin Almond Biscotti,12,3,36,visa,4889837366983255
1002918,2000066,3000014,2024-05-09 07:34:29.756,Golden Gate Ginger,1,3,3,mastercard,2662172855432474
1002972,2000073,3000014,2024-05-05 07:47:37.069,Tokyo Tidbits,1,3,3,mastercard,2299022983474859
1002989,2000059,3000014,2024-05-13 09:06:07.464,Golden Gate Ginger,1,3,3,amex,348322972857550
1003064,2000208,3000014,2024-05-05 21:30:24.097,Pearly Pies,1,3,3,mastercard,2438051989472114
1003113,2000186,3000014,2024-05-15 05:14:33.713,Outback Oatmeal,1,3,3,mastercard,2640923489914262
1003131,2000142,3000014,2024-05-04 16:19:32.775,Austin Almond Biscotti,1,3,3,visa,4672830672567772
1003151,2000260,3000014,2024-05-10 10:24:56.855,Outback Oatmeal,1,3,3,mastercard,5177762742702070
1003225,2000105,3000014,2024-05-03 22:39:02.421,Tokyo Tidbits,1,3,3,mastercard,2224751615852997
1003236,2000234,3000014,2024-05-16 21:56:11.134,Orchard Oasis,1,3,3,amex,348910581883148
1003244,2000112,3000014,2024-05-01 05:22:16.193,Pearly Pies,1,3,3,amex,345299353548607
1003262,2000056,3000014,2024-05-08 03:25:14.903,Golden Gate Ginger,1,3,3,mastercard,2410368218446046
1003296,2000121,3000014,2024-05-01 16:31:52.062,Outback Oatmeal,1,3,3,mastercard,2460046289832406
1001308,2000132,3000014,2024-05-09 21:32:05.558,Golden Gate Ginger,1,3,3,amex,373295816553148
1001430,2000285,3000014,2024-05-07 16:03:52.953,Golden Gate Ginger,1,3,3,visa,4861243333419642
1001465,2000159,3000014,2024-05-10 02:37:30.333,Orchard Oasis,1,3,3,amex,378514774307239
1001503,2000249,3000014,2024-05-07 00:48:24.055,Tokyo Tidbits,1,3,3,mastercard,2231964971497288
1001573,2000277,3000014,2024-05-14 16:25:18.974,Austin Almond Biscotti,1,3,3,mastercard,5348936749520016
1001582,2000039,3000014,2024-05-15 21:18:56.512,Outback Oatmeal,1,3,3,visa,4111694598303590
1001612,2000084,3000014,2024-05-15 12:52:13.077,Golden Gate Ginger,1,3,3,amex,349521558463233
1001689,2000092,3000014,2024-05-02 04:31:30.485,Outback Oatmeal,1,3,3,visa,4620306463426505
1001852,2000029,3000014,2024-05-16 22:19:10.84,Orchard Oasis,1,3,3,amex,345594946821390
1001856,2000044,3000014,2024-05-13 04:53:37.609,Orchard Oasis,1,3,3,mastercard,2445182900052379
1001892,2000124,3000014,2024-05-08 18:36:25.356,Tokyo Tidbits,1,3,3,mastercard,2451267835047437
1001937,2000103,3000014,2024-05-01 01:54:46.267,Austin Almond Biscotti,1,3,3,mastercard,2249596087438390
1001974,2000145,3000014,2024-05-14 00:14:07.963,Pearly Pies,1,3,3,visa,4902809012099938
1001987,2000131,3000014,2024-05-04 21:48:01.949,Pearly Pies,1,3,3,amex,345764336480715
1001988,2000115,3000014,2024-05-09 02:55:59.49,Austin Almond Biscotti,1,3,3,visa,4551699708358159
1002006,2000005,3000014,2024-05-06 09:44:57.451,Tokyo Tidbits,1,3,3,amex,343162796847345
1002013,2000000,3000014,2024-05-08 22:43:59.766,Tokyo Tidbits,1,3,3,mastercard,2277290657144035
1000046,2000189,3000014,2024-05-02 18:21:10.337,Golden Gate Ginger,1,3,3,visa,4854500160375208
1000089,2000065,3000014,2024-05-08 05:44:56.619,Pearly Pies,1,3,3,mastercard,2445384113545757
1000163,2000057,3000014,2024-05-13 19:55:55.178,Orchard Oasis,1,3,3,visa,4178861729069131
1000365,2000218,3000014,2024-05-17 00:22:18.637,Austin Almond Biscotti,1,3,3,visa,4771588358718404
1000390,2000086,3000014,2024-05-17 00:46:22.431,Outback Oatmeal,1,3,3,mastercard,2247475141258064
1000401,2000166,3000014,2024-05-16 18:00:12.916,Golden Gate Ginger,1,3,3,amex,344509196367804
1000885,2000100,3000014,2024-05-03 23:16:50.592,Pearly Pies,1,3,3,mastercard,2714336718302053
1000972,2000055,3000014,2024-05-12 05:18:02.47,Tokyo Tidbits,1,3,3,visa,4812272579929733
1000999,2000091,3000014,2024-05-02 17:31:40.578,Orchard Oasis,1,3,3,amex,378107992604519
1001005,2000025,3000014,2024-05-06 10:17:15.398,Orchard Oasis,1,3,3,mastercard,2314133951044169
1001081,2000150,3000014,2024-05-09 21:04:48.902,Outback Oatmeal,1,3,3,amex,373924324317825
1001094,2000185,3000014,2024-05-06 00:05:48.623,Outback Oatmeal,1,3,3,visa,4270966302172488
1001109,2000074,3000014,2024-05-02 01:04:18.038,Golden Gate Ginger,1,3,3,visa,4562479878380409
1001126,2000219,3000014,2024-05-08 16:46:43.091,Tokyo Tidbits,1,3,3,amex,342923180526758
1001148,2000052,3000014,2024-05-05 23:39:28.39,Golden Gate Ginger,1,3,3,amex,370753993632807
1001213,2000244,3000014,2024-05-11 20:10:05.208,Outback Oatmeal,1,3,3,visa,4849865677555990
1001245,2000008,3000014,2024-05-16 12:08:39.935,Outback Oatmeal,1,3,3,amex,370035045764857
1002254,2000206,3000014,2024-05-11 21:30:17.803,Tokyo Tidbits,1,3,3,amex,341271419099937
1002369,2000293,3000014,2024-05-02 11:52:59.556,Pearly Pies,1,3,3,amex,373479933586716
1002377,2000230,3000014,2024-05-08 06:10:15.255,Pearly Pies,1,3,3,mastercard,2243714290521300
1002463,2000067,3000014,2024-05-03 10:07:28.588,Austin Almond Biscotti,1,3,3,visa,4747082556725537
1002475,2000087,3000014,2024-05-01 03:39:25.226,Outback Oatmeal,1,3,3,mastercard,5413877984675836
1002487,2000008,3000014,2024-05-17 05:11:34.488,Pearly Pies,1,3,3,mastercard,5502703839264489
1002511,2000052,3000014,2024-05-09 07:31:37.529,Outback Oatmeal,1,3,3,amex,347403186499099
1002522,2000181,3000014,2024-05-14 17:12:20.387,Pearly Pies,1,3,3,mastercard,2518594618466737
1002525,2000019,3000014,2024-05-06 16:41:40.718,Austin Almond Biscotti,1,3,3,mastercard,2251435975240110
1002645,2000018,3000014,2024-05-03 19:00:03.598,Tokyo Tidbits,1,3,3,visa,4996450118956619
1002646,2000188,3000014,2024-05-14 18:34:19.497,Austin Almond Biscotti,1,3,3,visa,4525239111849370
1002688,2000016,3000014,2024-05-14 05:27:04.393,Pearly Pies,1,3,3,amex,347641723035567
1002732,2000080,3000014,2024-05-13 11:24:35.419,Pearly Pies,1,3,3,amex,341577839239220
1002761,2000225,3000014,2024-05-02 16:54:44.478,Outback Oatmeal,1,3,3,visa,4882574739609468
1002886,2000004,3000014,2024-05-10 16:02:56.655,Pearly Pies,1,3,3,amex,343772669886525
1000426,2000274,3000014,2024-05-08 07:17:10.213,Outback Oatmeal,1,3,3,amex,376499410947683
1000449,2000085,3000014,2024-05-08 07:36:57.399,Orchard Oasis,1,3,3,visa,4060035398025002
1000506,2000146,3000014,2024-05-13 15:21:11.164,Outback Oatmeal,1,3,3,mastercard,2682824781644327
1000513,2000267,3000014,2024-05-04 20:54:29.724,Tokyo Tidbits,1,3,3,mastercard,2258273765637861
1000548,2000003,3000014,2024-05-17 10:55:23.547,Orchard Oasis,1,3,3,mastercard,2651409739436807
1000584,2000265,3000014,2024-05-12 18:06:41.977,Outback Oatmeal,1,3,3,amex,374871713363614
1000591,2000126,3000014,2024-05-11 16:37:10.502,Orchard Oasis,1,3,3,mastercard,2263262881563716
1000608,2000064,3000014,2024-05-09 17:25:29.2,Pearly Pies,1,3,3,visa,4653012283447057
1000699,2000020,3000014,2024-05-11 20:37:34.063,Austin Almond Biscotti,1,3,3,visa,4760943054618296
1000723,2000211,3000014,2024-05-03 19:16:07.61,Tokyo Tidbits,1,3,3,mastercard,2284176831135232
1000780,2000070,3000014,2024-05-13 00:56:24.864,Golden Gate Ginger,1,3,3,mastercard,2700226958713455
1000805,2000050,3000014,2024-05-05 15:19:12.748,Golden Gate Ginger,1,3,3,amex,346071294442177
1000808,2000021,3000014,2024-05-04 06:29:32.441,Golden Gate Ginger,1,3,3,amex,349293294507786
1000810,2000021,3000014,2024-05-08 00:51:11.985,Golden Gate Ginger,1,3,3,mastercard,2720090193471279
1002932,2000187,3000020,2024-05-09 11:44:16.687,Tokyo Tidbits,1,3,3,mastercard,5257915888161252
1002948,2000213,3000020,2024-05-16 00:22:26.081,Outback Oatmeal,1,3,3,mastercard,2251267009475911
1002994,2000173,3000020,2024-05-17 09:39:06.651,Tokyo Tidbits,1,3,3,mastercard,2287757604753967
1003034,2000187,3000020,2024-05-12 00:59:55.035,Pearly Pies,1,3,3,visa,4580427535235282
1003047,2000202,3000020,2024-05-15 09:14:52.703,Austin Almond Biscotti,1,3,3,visa,4646609556079390
1003276,2000263,3000020,2024-05-01 09:11:26.684,Outback Oatmeal,1,3,3,mastercard,2668485495877088
1001281,2000226,3000020,2024-05-04 22:01:29.977,Tokyo Tidbits,1,3,3,visa,4101280664978838
1001371,2000221,3000020,2024-05-10 14:54:02.647,Austin Almond Biscotti,1,3,3,amex,340529711946175
1001431,2000229,3000020,2024-05-13 10:05:39.979,Tokyo Tidbits,1,3,3,visa,4623023182316191
1001613,2000249,3000020,2024-05-01 09:56:58.43,Orchard Oasis,1,3,3,mastercard,2283255533057315
1001635,2000255,3000020,2024-05-06 14:39:51.182,Tokyo Tidbits,1,3,3,amex,375154353397567
1001673,2000250,3000020,2024-05-03 12:24:06.23,Outback Oatmeal,1,3,3,visa,4572810740422797
1001718,2000124,3000020,2024-05-16 10:23:27.582,Golden Gate Ginger,1,3,3,amex,343531514009612
1001806,2000113,3000020,2024-05-05 00:49:13.543,Orchard Oasis,1,3,3,mastercard,5424117956892490
1002012,2000200,3000020,2024-05-14 03:45:50.06,Tokyo Tidbits,1,3,3,amex,370859885584897
1002017,2000128,3000020,2024-05-06 02:05:15.031,Pearly Pies,1,3,3,amex,379270160136463
1002069,2000286,3000020,2024-05-14 00:23:40.739,Tokyo Tidbits,1,3,3,amex,344575200166953
1002075,2000216,3000020,2024-05-17 00:48:05.39,Orchard Oasis,1,3,3,mastercard,2296257482112666
1000033,2000247,3000020,2024-05-05 15:48:11.904,Outback Oatmeal,1,3,3,mastercard,2232512972940704
1000076,2000084,3000020,2024-05-05 00:23:01.313,Outback Oatmeal,1,3,3,mastercard,5218380428371440
1000101,2000189,3000020,2024-05-04 20:12:53.183,Austin Almond Biscotti,1,3,3,amex,376090616942469
1000118,2000144,3000020,2024-05-10 11:14:00.531,Orchard Oasis,1,3,3,mastercard,2275497581328905
1000173,2000025,3000020,2024-05-17 10:43:05.688,Austin Almond Biscotti,1,3,3,visa,4516748847945352
1000209,2000177,3000020,2024-05-03 13:59:18.042,Golden Gate Ginger,1,3,3,mastercard,2655624262941587
1000224,2000109,3000020,2024-05-09 03:49:57.326,Golden Gate Ginger,1,3,3,amex,372815362627250
1000233,2000174,3000020,2024-05-06 06:14:11.981,Golden Gate Ginger,1,3,3,mastercard,2224280917511747
1000385,2000229,3000020,2024-05-03 03:21:39.211,Tokyo Tidbits,1,3,3,amex,372495048263521
1000839,2000094,3000020,2024-05-01 15:19:52.321,Orchard Oasis,1,3,3,mastercard,2257397419075599
1000852,2000137,3000020,2024-05-08 09:03:14.906,Tokyo Tidbits,1,3,3,mastercard,2286246223027194
1000899,2000283,3000020,2024-05-17 09:42:46.391,Tokyo Tidbits,1,3,3,amex,349656025939595
1000976,2000076,3000020,2024-05-02 19:41:05.022,Outback Oatmeal,1,3,3,amex,376070543989189
1001061,2000076,3000020,2024-05-03 00:30:02.758,Outback Oatmeal,1,3,3,amex,347825768514889
1001079,2000029,3000020,2024-05-10 20:30:42.788,Tokyo Tidbits,1,3,3,amex,377791044266517
1001220,2000269,3000020,2024-05-08 16:18:35.407,Pearly Pies,1,3,3,amex,376533779574280
1001240,2000298,3000020,2024-05-14 08:25:43.155,Tokyo Tidbits,1,3,3,visa,4954043655720462
1002152,2000199,3000020,2024-05-01 06:12:03.447,Austin Almond Biscotti,1,3,3,visa,4813099728706269
1002181,2000256,3000020,2024-05-08 02:49:29.739,Golden Gate Ginger,1,3,3,amex,376607291474904
1002187,2000147,3000020,2024-05-13 15:14:45.346,Orchard Oasis,1,3,3,amex,342063802434840
1002228,2000253,3000020,2024-05-05 10:13:00.341,Pearly Pies,1,3,3,visa,4566814252799376
1002241,2000121,3000020,2024-05-04 14:48:53.915,Austin Almond Biscotti,1,3,3,visa,4156408609000343
1002247,2000035,3000020,2024-05-13 03:00:26.401,Pearly Pies,1,3,3,amex,374704557032039
1002348,2000002,3000020,2024-05-14 13:17:30.623,Outback Oatmeal,1,3,3,amex,377144871679503
1002374,2000292,3000020,2024-05-03 03:08:11.446,Pearly Pies,1,3,3,mastercard,2720873187258715
1002381,2000011,3000020,2024-05-14 19:14:51.32,Orchard Oasis,1,3,3,mastercard,2234099308354840
1002397,2000021,3000020,2024-05-14 11:39:18.253,Golden Gate Ginger,1,3,3,mastercard,2708039691611593
1002442,2000279,3000020,2024-05-10 16:54:58.62,Orchard Oasis,1,3,3,visa,4709066902636387
1002448,2000144,3000020,2024-05-15 17:32:10.014,Tokyo Tidbits,1,3,3,amex,341975514775569
1002468,2000220,3000020,2024-05-06 08:16:19.62,Golden Gate Ginger,1,3,3,visa,4460634850483026
1002552,2000170,3000020,2024-05-11 17:03:30.222,Orchard Oasis,1,3,3,mastercard,5289099745346232
1002695,2000271,3000020,2024-05-09 20:11:50.782,Golden Gate Ginger,1,3,3,visa,4295246553918348
1002716,2000196,3000020,2024-05-04 23:41:51.46,Golden Gate Ginger,1,3,3,amex,375618494172758
1002787,2000275,3000020,2024-05-07 14:14:21.725,Orchard Oasis,1,3,3,amex,370812949551873
1000430,2000098,3000020,2024-05-13 07:17:42.593,Orchard Oasis,1,3,3,mastercard,2298056879045515
1000471,2000019,3000020,2024-05-09 17:11:26.576,Pearly Pies,1,3,3,visa,4159299444572449
1000474,2000126,3000020,2024-05-08 21:39:46.393,Pearly Pies,1,3,3,visa,4423535376012072
1000651,2000066,3000020,2024-05-16 09:27:53.425,Austin Almond Biscotti,1,3,3,visa,4146549913220292
1000719,2000102,3000020,2024-05-06 20:52:12.29,Outback Oatmeal,1,3,3,visa,4451164310855234
1000782,2000129,3000020,2024-05-10 11:13:47.76,Austin Almond Biscotti,1,3,3,mastercard,2225090444953620
1000786,2000035,3000020,2024-05-16 08:54:41.134,Outback Oatmeal,1,3,3,amex,373580588472894
1002928,2000248,3000039,2024-05-17 11:25:27.75,Orchard Oasis,1,3,3,visa,4760749322976824
1003118,2000151,3000039,2024-05-04 06:37:06.582,Outback Oatmeal,1,3,3,visa,4417960024574661
1003202,2000098,3000039,2024-05-09 13:54:40.448,Outback Oatmeal,1,3,3,mastercard,2247813557672883
